input_item,path,exists,rows,columns,reproducibility_status
universe,outputs/phase1_final/phase1_universe_final.csv,True,3649,code;ticker;company_name;market;sector;is_financial_excluded;is_common_stock;has_price;has_fundamentals;universe_inclusion_status;exclusion_reason,OK
value_metrics_final,outputs/phase1_final/value_metrics_final.csv,True,3099,code;company_name;sector;market_equity_final;market_equity_method;book_equity;net_income;pbr_raw;per_raw;bm_raw;bm_method;ep_raw;ep_method;bm_winsorized;ep_winsorized;bm_available;ep_available;value_metric_quality_flag;notes;anomaly_flags,OK
gross_profitability_metrics,outputs/phase1_final/gross_profitability_metrics.csv,True,3099,code;ticker;company_name;sector_33;total_assets;doc_id;gross_profit;revenue;cost_of_sales;gp_method;gp_tag;revenue_tag;cost_tag;gross_profitability;gross_profitability_available;gross_profitability_review_flag,OK
piotroski_signal_audit,outputs/phase1_final/piotroski_signal_audit.csv,True,3099,code;F_ROA;F_CFO;F_DROA;F_ACCRUAL;F_DMARGIN;F_DTURN;F_DLEVER;F_DLIQUID;EQ_OFFER;available_signal_score;available_signal_count;available_signal_max;implemented_signals;missing_signals;reason_for_missing;score_label,OK
sloan_accruals_final,outputs/phase1_final/sloan_accruals_final.csv,True,3099,code;net_income;operating_cash_flow;average_total_assets;sloan_accruals;sloan_accruals_winsorized;method;accruals_extreme,OK
simple_distress_guardrail,outputs/phase1_final/simple_distress_guardrail.csv,True,3099,code;negative_book_equity;net_loss_current_year;net_loss_prior_year;two_year_net_loss;operating_cf_negative_current_year;operating_cf_negative_prior_year;two_year_ocf_loss;operating_income_negative;current_liabilities_gt_current_assets;liabilities_to_assets_high;equity_ratio_low;going_concern_flag_if_available;distress_exclusion_flag;distress_review_flag;distress_reason,OK
liquidity_audit,outputs/phase1_final/liquidity_audit.csv,True,3099,code;ticker;company_name;avg_daily_value_60d;avg_volume_60d;median_daily_value_60d;liquidity_available;liquidity_flag;liquidity_exclusion_flag;liquidity_reason,OK
final20_anomaly_review,outputs/phase1_final/final20_anomaly_review.csv,True,3099,code;company_name;sector;bm_raw;ep_raw;anomaly_flags;market_equity_final;gross_profitability;gross_profitability_review_flag;sloan_accruals;accruals_extreme;distress_review_flag;distress_exclusion_flag;distress_reason;avg_daily_value_60d;liquidity_flag;liquidity_exclusion_flag;gross_profitability_extreme;liquidity_review_flag;microcap_flag;one_time_profit_suspected,OK
phase1_final20_base,outputs/phase1_final/phase1_final20_base.csv,True,20,rank;code;company_name;market;sector;market_equity;bm_raw;bm_percentile;ep_raw;ep_percentile;gross_profitability;gross_profitability_percentile;piotroski_available_score;piotroski_available_max;piotroski_available_ratio;sloan_accruals;sloan_accruals_percentile;distress_flags;liquidity;anomaly_flags;selection_cell;tie_break_reason;final20_type;human_review_required;adoption_rationale,OK
phase1_final20_conservative,outputs/phase1_final/phase1_final20_conservative.csv,True,20,rank;code;company_name;market;sector;market_equity;bm_raw;bm_percentile;ep_raw;ep_percentile;gross_profitability;gross_profitability_percentile;piotroski_available_score;piotroski_available_max;piotroski_available_ratio;sloan_accruals;sloan_accruals_percentile;distress_flags;liquidity;anomaly_flags;selection_cell;tie_break_reason;final20_type;human_review_required;adoption_rationale,OK
portfolio_allocation_base,outputs/phase1_final/portfolio_allocation_base_5m.csv,True,20,code;company_name;price;target_amount;shares;investment_amount;weight;role;allocation_note,OK
portfolio_allocation_conservative,outputs/phase1_final/portfolio_allocation_conservative_5m.csv,True,20,code;company_name;price;target_amount;shares;investment_amount;weight;role;allocation_note,OK
prices_daily,data/processed/prices_daily.parquet,True,4349347,date;ticker;open;high;low;close;adj_close;volume,OK
