式番号,式名,分類,出典,選定への使用,本研究での使用方法,原式からの差分・限界
1.1,簿価時価比率 B/M,引用式,Fama and French (1993),○（守）,B/M 上位30%通過,なし
1.2,益回り E/P,引用式,Basu (1977),○（守）,正のE/P上位50%通過,なし
1.3,Gross Profitability,引用式,Novy-Marx (2013),○（守）,中央値以上通過,なし（業種上限で緩和）
1.4,Piotroski available signal ratio,改変式（部分実装）,Piotroski (2000),○（守）,比率0.65以上通過,9→6シグナルの部分実装
1.5,Sloan Accruals,引用式,Sloan (1996),○（守）,悪い側上位を除外,なし
1.6,60 日平均売買代金（流動性）,実装式,実務・本研究,○（守）,"1,000万円以上を優先",―
1.7,簡易 distress ガードレール,改変式（原式代替）,Altman (1968)/Ohlson (1980) 代替,○（守）,債務超過・連続損失・営業CF赤字を除外,原式未実装・簡易代替
2.1,市場パーセンタイル正規化,実装式,本研究,○（破・候補宇宙形成）,市場順位に正規化,―
2.2,正規化コンセンサスタグ,実装式,本研究,○（破・頑健性）,4方式コンセンサス,―
3.1,Transformation Moat Score（設計完全形）,本研究の設計式,本研究,×（選定未使用）,概念上の参照式,full形は構造的に到達不能
3.2,Transformation Moat Score（partial 実装形）,本研究の実装式,本研究,○（選定使用）,partial 19社・lite 1社,R→FCF代替・E除外・Φ追加
3.3,Emerging Moat Score,本研究の実装式,本研究,○（選定使用）,Emerging選定,証拠加点≤8・Hype罰18
3.4,Evidence Level（役割別・スコアと分離）,実装式（証拠分離）,本研究,○（証拠分離）,L3:15/L2:4/L1:1,L2+は14社curated依存
4.1,Risk-adjusted Role Allocation,実装式（配分）,本研究,○（配分・銘柄不変）,役割予算×傾け係数,リターン予測不使用
4.2,単元株調整購入株数,実装式（配分）,本研究,○（配分）,L=1基準/L=100感度,―
5.1,Sharpe Ratio,検証式,Sharpe (1966;1994),×（選定未使用）,in-sampleリスク特性,将来性能を約束しない
5.2,Maximum Drawdown,検証式,標準,×（選定未使用）,下方リスク参考,―
5.3,Jensen's α,検証式,Jensen (1968),×（選定未使用）,in-sample α,将来αを約束しない
5.4,Information Ratio,検証式,標準,×（選定未使用）,1年IR=-0.405（負）,超過収益を主張しない根拠
5.5,Herfindahl–Hirschman Index（集中度）,検証式,集中度,×（選定未使用）,銘柄0.053/業種0.123/テーマ0.402,テーマ集中リスク
